Entity,Year,"Cumulative CO2 emissions share (OWID based on GCP, 2017)"
Africa,1961,1.0124
Africa,1962,1.0329
Africa,1963,1.0534
Africa,1964,1.0759
Africa,1965,1.1011
Africa,1966,1.1249
Africa,1967,1.1503
Africa,1968,1.1773
Africa,1969,1.2053
Africa,1970,1.2344
Africa,1971,1.2665
Africa,1972,1.2992
Africa,1973,1.3326
Africa,1974,1.3659
Africa,1975,1.3969
Africa,1976,1.4296
Africa,1977,1.461
Africa,1978,1.495
Africa,1979,1.5305
Africa,1980,1.5702
Africa,1981,1.6112
Africa,1982,1.6537
Africa,1983,1.6975
Africa,1984,1.7453
Africa,1985,1.7913
Africa,1986,1.8366
Africa,1987,1.878
Africa,1988,1.9199
Africa,1989,1.9547
Africa,1990,1.9827
Africa,1991,2.012
Africa,1992,2.0383
Africa,1993,2.068
Africa,1994,2.0964
Africa,1995,2.1285
Africa,1996,2.1597
Africa,1997,2.1904
Africa,1998,2.2218
Africa,1999,2.2512
Africa,2000,2.2832
Africa,2001,2.312
Africa,2002,2.3391
Africa,2003,2.3691
Africa,2004,2.4011
Africa,2005,2.4303
Africa,2006,2.4593
Africa,2007,2.4891
Africa,2008,2.5195
Africa,2009,2.5499
Africa,2010,2.5763
Africa,2011,2.5993
Africa,2012,2.6227
Africa,2013,2.6455
Africa,2014,2.6694
Africa,2015,2.6922
Africa,2016,2.715
Africa,2017,2.7372
Albania,1751,0.0
Albania,1752,0.0
Albania,1753,0.0
Albania,1754,0.0
Albania,1755,0.0
Albania,1756,0.0
Albania,1757,0.0
Albania,1758,0.0
Albania,1759,0.0
Albania,1760,0.0
Albania,1761,0.0
Albania,1762,0.0
Albania,1763,0.0
Albania,1764,0.0
Albania,1765,0.0
Albania,1766,0.0
Albania,1767,0.0
Albania,1768,0.0
Albania,1769,0.0
Albania,1770,0.0
Albania,1771,0.0
Albania,1772,0.0
Albania,1773,0.0
Albania,1774,0.0
Albania,1775,0.0
Albania,1776,0.0
Albania,1777,0.0
Albania,1778,0.0
Albania,1779,0.0
Albania,1780,0.0
Albania,1781,0.0
Albania,1782,0.0
Albania,1783,0.0
Albania,1784,0.0
Albania,1785,0.0
Albania,1786,0.0
Albania,1787,0.0
Albania,1788,0.0
Albania,1789,0.0
Albania,1790,0.0
Albania,1791,0.0
Albania,1792,0.0
Albania,1793,0.0
Albania,1794,0.0
Albania,1795,0.0
Albania,1796,0.0
Albania,1797,0.0
Albania,1798,0.0
Albania,1799,0.0
Albania,1800,0.0
Albania,1801,0.0
Albania,1802,0.0
Albania,1803,0.0
Albania,1804,0.0
Albania,1805,0.0
Albania,1806,0.0
Albania,1807,0.0
Albania,1808,0.0
Albania,1809,0.0
Albania,1810,0.0
Albania,1811,0.0
Albania,1812,0.0
Albania,1813,0.0
Albania,1814,0.0
Albania,1815,0.0
Albania,1816,0.0
Albania,1817,0.0
Albania,1818,0.0
Albania,1819,0.0
Albania,1820,0.0
Albania,1821,0.0
Albania,1822,0.0
Albania,1823,0.0
Albania,1824,0.0
Albania,1825,0.0
Albania,1826,0.0
Albania,1827,0.0
Albania,1828,0.0
Albania,1829,0.0
Albania,1830,0.0
Albania,1831,0.0
Albania,1832,0.0
Albania,1833,0.0
Albania,1834,0.0
Albania,1835,0.0
Albania,1836,0.0
Albania,1837,0.0
Albania,1838,0.0
Albania,1839,0.0
Albania,1840,0.0
Albania,1841,0.0
Albania,1842,0.0
Albania,1843,0.0
Albania,1844,0.0
Albania,1845,0.0
Albania,1846,0.0
Albania,1847,0.0
Albania,1848,0.0
Albania,1849,0.0
Albania,1850,0.0
Albania,1851,0.0
Albania,1852,0.0
Albania,1853,0.0
Albania,1854,0.0
Albania,1855,0.0
Albania,1856,0.0
Albania,1857,0.0
Albania,1858,0.0
Albania,1859,0.0
Albania,1860,0.0
Albania,1861,0.0
Albania,1862,0.0
Albania,1863,0.0
Albania,1864,0.0
Albania,1865,0.0
Albania,1866,0.0
Albania,1867,0.0
Albania,1868,0.0
Albania,1869,0.0
Albania,1870,0.0
Albania,1871,0.0
Albania,1872,0.0
Albania,1873,0.0
Albania,1874,0.0
Albania,1875,0.0
Albania,1876,0.0
Albania,1877,0.0
Albania,1878,0.0
Albania,1879,0.0
Albania,1880,0.0
Albania,1881,0.0
Albania,1882,0.0
Albania,1883,0.0
Albania,1884,0.0
Albania,1885,0.0
Albania,1886,0.0
Albania,1887,0.0
Albania,1888,0.0
Albania,1889,0.0
Albania,1890,0.0
Albania,1891,0.0
Albania,1892,0.0
Albania,1893,0.0
Albania,1894,0.0
Albania,1895,0.0
Albania,1896,0.0
Albania,1897,0.0
Albania,1898,0.0
Albania,1899,0.0
Albania,1900,0.0
Albania,1901,0.0
Albania,1902,0.0
Albania,1903,0.0
Albania,1904,0.0
Albania,1905,0.0
Albania,1906,0.0
Albania,1907,0.0
Albania,1908,0.0
Albania,1909,0.0
Albania,1910,0.0
Albania,1911,0.0
Albania,1912,0.0
Albania,1913,0.0
Albania,1914,0.0
Albania,1915,0.0
Albania,1916,0.0
Albania,1917,0.0
Albania,1918,0.0
Albania,1919,0.0
Albania,1920,0.0
Albania,1921,0.0
Albania,1922,0.0
Albania,1923,0.0
Albania,1924,0.0
Albania,1925,0.0
Albania,1926,0.0
Albania,1927,0.0
Albania,1928,0.0
Albania,1929,0.0
Albania,1930,0.0
Albania,1931,0.0
Albania,1932,0.0
Albania,1933,0.0
Albania,1934,0.0
Albania,1935,0.0
Albania,1936,0.0001
Albania,1937,0.0003
Albania,1938,0.0005
Albania,1939,0.0007
Albania,1940,0.0011
Albania,1941,0.0014
Albania,1942,0.0017
Albania,1943,0.0019
Albania,1944,0.002
Albania,1945,0.002
Albania,1946,0.0022
Albania,1947,0.0025
Albania,1948,0.0028
Albania,1949,0.0032
Albania,1950,0.0032
Albania,1951,0.0033
Albania,1952,0.0034
Albania,1953,0.0035
Albania,1954,0.0036
Albania,1955,0.0037
Albania,1956,0.0039
Albania,1957,0.0043
Albania,1958,0.0046
Albania,1959,0.005
Albania,1960,0.0055
Albania,1961,0.006
Albania,1962,0.0066
Albania,1963,0.007
Albania,1964,0.0074
Albania,1965,0.0078
Albania,1966,0.0082
Albania,1967,0.0086
Albania,1968,0.0091
Albania,1969,0.0096
Albania,1970,0.0101
Albania,1971,0.0108
Albania,1972,0.0116
Albania,1973,0.0123
Albania,1974,0.0128
Albania,1975,0.0133
Albania,1976,0.0138
Albania,1977,0.0144
Albania,1978,0.015
Albania,1979,0.0158
Albania,1980,0.0162
Albania,1981,0.0169
Albania,1982,0.0175
Albania,1983,0.0182
Albania,1984,0.0188
Albania,1985,0.0194
Albania,1986,0.02
Albania,1987,0.0204
Albania,1988,0.0208
Albania,1989,0.0214
Albania,1990,0.0215
Albania,1991,0.0214
Albania,1992,0.0211
Albania,1993,0.0209
Albania,1994,0.0206
Albania,1995,0.0203
Albania,1996,0.02
Albania,1997,0.0196
Albania,1998,0.0193
Albania,1999,0.0192
Albania,2000,0.019
Albania,2001,0.0189
Albania,2002,0.0188
Albania,2003,0.0187
Albania,2004,0.0186
Albania,2005,0.0185
Albania,2006,0.0184
Albania,2007,0.0182
Albania,2008,0.0181
Albania,2009,0.018
Albania,2010,0.0179
Albania,2011,0.0178
Albania,2012,0.0177
Albania,2013,0.0177
Albania,2014,0.0176
Albania,2015,0.0176
Albania,2016,0.0176
Albania,2017,0.0176
Algeria,1751,0.0
Algeria,1752,0.0
Algeria,1753,0.0
Algeria,1754,0.0
Algeria,1755,0.0
Algeria,1756,0.0
Algeria,1757,0.0
Algeria,1758,0.0
Algeria,1759,0.0
Algeria,1760,0.0
Algeria,1761,0.0
Algeria,1762,0.0
Algeria,1763,0.0
Algeria,1764,0.0
Algeria,1765,0.0
Algeria,1766,0.0
Algeria,1767,0.0
Algeria,1768,0.0
Algeria,1769,0.0
Algeria,1770,0.0
Algeria,1771,0.0
Algeria,1772,0.0
Algeria,1773,0.0
Algeria,1774,0.0
Algeria,1775,0.0
Algeria,1776,0.0
Algeria,1777,0.0
Algeria,1778,0.0
Algeria,1779,0.0
Algeria,1780,0.0
Algeria,1781,0.0
Algeria,1782,0.0
Algeria,1783,0.0
Algeria,1784,0.0
Algeria,1785,0.0
Algeria,1786,0.0
Algeria,1787,0.0
Algeria,1788,0.0
Algeria,1789,0.0
Algeria,1790,0.0
Algeria,1791,0.0
Algeria,1792,0.0
Algeria,1793,0.0
Algeria,1794,0.0
Algeria,1795,0.0
Algeria,1796,0.0
Algeria,1797,0.0
Algeria,1798,0.0
Algeria,1799,0.0
Algeria,1800,0.0
Algeria,1801,0.0
Algeria,1802,0.0
Algeria,1803,0.0
Algeria,1804,0.0
Algeria,1805,0.0
Algeria,1806,0.0
Algeria,1807,0.0
Algeria,1808,0.0
Algeria,1809,0.0
Algeria,1810,0.0
Algeria,1811,0.0
Algeria,1812,0.0
Algeria,1813,0.0
Algeria,1814,0.0
Algeria,1815,0.0
Algeria,1816,0.0
Algeria,1817,0.0
Algeria,1818,0.0
Algeria,1819,0.0
Algeria,1820,0.0
Algeria,1821,0.0
Algeria,1822,0.0
Algeria,1823,0.0
Algeria,1824,0.0
Algeria,1825,0.0
Algeria,1826,0.0
Algeria,1827,0.0
Algeria,1828,0.0
Algeria,1829,0.0
Algeria,1830,0.0
Algeria,1831,0.0
Algeria,1832,0.0
Algeria,1833,0.0
Algeria,1834,0.0
Algeria,1835,0.0
Algeria,1836,0.0
Algeria,1837,0.0
Algeria,1838,0.0
Algeria,1839,0.0
Algeria,1840,0.0
Algeria,1841,0.0
Algeria,1842,0.0
Algeria,1843,0.0
Algeria,1844,0.0
Algeria,1845,0.0
Algeria,1846,0.0
Algeria,1847,0.0
Algeria,1848,0.0
Algeria,1849,0.0
Algeria,1850,0.0
Algeria,1851,0.0
Algeria,1852,0.0
Algeria,1853,0.0
Algeria,1854,0.0
Algeria,1855,0.0
Algeria,1856,0.0
Algeria,1857,0.0
Algeria,1858,0.0
Algeria,1859,0.0
Algeria,1860,0.0
Algeria,1861,0.0
Algeria,1862,0.0
Algeria,1863,0.0
Algeria,1864,0.0
Algeria,1865,0.0
Algeria,1866,0.0
Algeria,1867,0.0
Algeria,1868,0.0
Algeria,1869,0.0
Algeria,1870,0.0
Algeria,1871,0.0
Algeria,1872,0.0
Algeria,1873,0.0
Algeria,1874,0.0
Algeria,1875,0.0
Algeria,1876,0.0
Algeria,1877,0.0
Algeria,1878,0.0
Algeria,1879,0.0
Algeria,1880,0.0
Algeria,1881,0.0
Algeria,1882,0.0
Algeria,1883,0.0
Algeria,1884,0.0
Algeria,1885,0.0
Algeria,1886,0.0
Algeria,1887,0.0
Algeria,1888,0.0
Algeria,1889,0.0
Algeria,1890,0.0
Algeria,1891,0.0
Algeria,1892,0.0
Algeria,1893,0.0
Algeria,1894,0.0
Algeria,1895,0.0
Algeria,1896,0.0
Algeria,1897,0.0
Algeria,1898,0.0
Algeria,1899,0.0
Algeria,1900,0.0
Algeria,1901,0.0
Algeria,1902,0.0
Algeria,1903,0.0
Algeria,1904,0.0
Algeria,1905,0.0
Algeria,1906,0.0
Algeria,1907,0.0
Algeria,1908,0.0
Algeria,1909,0.0
Algeria,1910,0.0
Algeria,1911,0.0
Algeria,1912,0.0
Algeria,1913,0.0
Algeria,1914,0.0
Algeria,1915,0.0
Algeria,1916,0.0
Algeria,1917,0.0
Algeria,1918,0.0
Algeria,1919,0.0
Algeria,1920,0.0001
Algeria,1921,0.0001
Algeria,1922,0.0001
Algeria,1923,0.0001
Algeria,1924,0.0001
Algeria,1925,0.0002
Algeria,1926,0.0002
Algeria,1927,0.0002
Algeria,1928,0.0003
Algeria,1929,0.0003
Algeria,1930,0.0004
Algeria,1931,0.0004
Algeria,1932,0.0005
Algeria,1933,0.0006
Algeria,1934,0.0007
Algeria,1935,0.0007
Algeria,1936,0.0007
Algeria,1937,0.0008
Algeria,1938,0.0008
Algeria,1939,0.0008
Algeria,1940,0.0009
Algeria,1941,0.0011
Algeria,1942,0.0013
Algeria,1943,0.0015
Algeria,1944,0.0017
Algeria,1945,0.002
Algeria,1946,0.0023
Algeria,1947,0.0026
Algeria,1948,0.0029
Algeria,1949,0.0032
