Entity,Year,Child mortality
Afghanistan,1870,478.53
Afghanistan,1871,478.53
Afghanistan,1872,478.53
Afghanistan,1873,478.53
Afghanistan,1874,478.53
Afghanistan,1875,479.96
Afghanistan,1876,479.96
Afghanistan,1877,479.96
Afghanistan,1878,479.96
Afghanistan,1879,479.96
Afghanistan,1880,479.96
Afghanistan,1881,479.96
Afghanistan,1882,479.96
Afghanistan,1883,479.96
Afghanistan,1884,479.96
Afghanistan,1885,481.39
Afghanistan,1886,481.39
Afghanistan,1887,481.39
Afghanistan,1888,481.39
Afghanistan,1889,481.39
Afghanistan,1890,481.39
Afghanistan,1891,481.39
Afghanistan,1892,481.39
Afghanistan,1893,481.39
Afghanistan,1894,482.81
Afghanistan,1895,482.77
Afghanistan,1896,482.69
Afghanistan,1897,482.57
Afghanistan,1898,482.38
Afghanistan,1899,482.11
Afghanistan,1900,481.77
Afghanistan,1901,481.36
Afghanistan,1902,480.87
Afghanistan,1903,480.3
Afghanistan,1904,481.08
Afghanistan,1905,480.36
Afghanistan,1906,479.57
Afghanistan,1907,478.69
Afghanistan,1908,477.75
Afghanistan,1909,476.74
Afghanistan,1910,475.68
Afghanistan,1911,474.58
Afghanistan,1912,473.45
Afghanistan,1913,472.32
Afghanistan,1914,472.57
Afghanistan,1915,471.43
Afghanistan,1916,470.29
Afghanistan,1917,469.15
Afghanistan,1918,468.01
Afghanistan,1919,466.87
Afghanistan,1920,465.74
Afghanistan,1921,464.6
Afghanistan,1922,463.46
Afghanistan,1923,462.32
Afghanistan,1924,462.57
Afghanistan,1925,461.43
Afghanistan,1926,460.28
Afghanistan,1927,459.14
Afghanistan,1928,458.0
Afghanistan,1929,456.85
Afghanistan,1930,455.71
Afghanistan,1931,454.007
Afghanistan,1932,452.297
Afghanistan,1933,451.955
Afghanistan,1934,450.258
Afghanistan,1935,448.555
Afghanistan,1936,446.855
Afghanistan,1937,445.167
Afghanistan,1938,443.472
Afghanistan,1939,441.78
Afghanistan,1940,440.101
Afghanistan,1941,438.415
Afghanistan,1942,436.732
Afghanistan,1943,436.36
Afghanistan,1944,434.68
Afghanistan,1945,433.004
Afghanistan,1946,431.33
Afghanistan,1947,429.659
Afghanistan,1948,427.992
Afghanistan,1949,426.326
Afghanistan,1950,424.664
Afghanistan,1951,421.065
Afghanistan,1952,413.956
Afghanistan,1953,407.034
Afghanistan,1954,400.297
Afghanistan,1955,393.745
Afghanistan,1956,387.378
Afghanistan,1957,381.194
Afghanistan,1958,375.19
Afghanistan,1959,369.361
Afghanistan,1960,363.7
Afghanistan,1961,357.5
Afghanistan,1962,351.5
Afghanistan,1963,345.5
Afghanistan,1964,339.7
Afghanistan,1965,333.9
Afghanistan,1966,328.4
Afghanistan,1967,322.7
Afghanistan,1968,317.2
Afghanistan,1969,311.5
Afghanistan,1970,306.0
Afghanistan,1971,300.4
Afghanistan,1972,294.7
Afghanistan,1973,288.9
Afghanistan,1974,282.7
Afghanistan,1975,276.7
Afghanistan,1976,270.6
Afghanistan,1977,264.3
Afghanistan,1978,257.9
Afghanistan,1979,251.5
Afghanistan,1980,244.8
Afghanistan,1981,238.2
Afghanistan,1982,231.5
Afghanistan,1983,224.6
Afghanistan,1984,217.9
Afghanistan,1985,210.9
Afghanistan,1986,204.1
Afghanistan,1987,197.2
Afghanistan,1988,190.5
Afghanistan,1989,183.8
Afghanistan,1990,177.3
Afghanistan,1991,171.1
Afghanistan,1992,165.2
Afghanistan,1993,159.6
Afghanistan,1994,154.5
Afghanistan,1995,149.6
Afghanistan,1996,145.1
Afghanistan,1997,141.0
Afghanistan,1998,137.1
Afghanistan,1999,133.4
Afghanistan,2000,129.7
Afghanistan,2001,126.0
Afghanistan,2002,122.2
Afghanistan,2003,118.3
Afghanistan,2004,114.4
Afghanistan,2005,110.3
Afghanistan,2006,106.3
Afghanistan,2007,102.2
Afghanistan,2008,98.2
Afghanistan,2009,94.1
Afghanistan,2010,90.2
Afghanistan,2011,86.4
Afghanistan,2012,82.8
Afghanistan,2013,79.3
Afghanistan,2014,76.1
Afghanistan,2015,73.2
Afghanistan,2016,70.4
Afghanistan,2017,68.248
Afghanistan,2018,65.924
Afghanistan,2019,63.707
Afghanistan,2020,61.595
Afghanistan,2021,59.586
Afghanistan,2022,57.676
Afghanistan,2023,55.86
Afghanistan,2024,54.132
Afghanistan,2025,52.487
Afghanistan,2026,50.924
Afghanistan,2027,49.441
Afghanistan,2028,48.031
Afghanistan,2029,46.692
Afghanistan,2030,45.416
Afghanistan,2031,44.204
Afghanistan,2032,43.051
Afghanistan,2033,41.955
Afghanistan,2034,40.909
Afghanistan,2035,39.907
Afghanistan,2036,38.947
Afghanistan,2037,38.025
Afghanistan,2038,37.139
Afghanistan,2039,36.286
Afghanistan,2040,35.464
Afghanistan,2041,34.673
Afghanistan,2042,33.915
Afghanistan,2043,33.19
Afghanistan,2044,32.497
Afghanistan,2045,31.832
Afghanistan,2046,31.196
Afghanistan,2047,30.584
Afghanistan,2048,29.996
Afghanistan,2049,29.426
Afghanistan,2050,28.87
Afghanistan,2051,28.326
Afghanistan,2052,27.789
Afghanistan,2053,27.26
Afghanistan,2054,26.739
Afghanistan,2055,26.227
Afghanistan,2056,25.728
Afghanistan,2057,25.245
Afghanistan,2058,24.782
Afghanistan,2059,24.336
Afghanistan,2060,23.909
Afghanistan,2061,23.497
Afghanistan,2062,23.098
Afghanistan,2063,22.709
Afghanistan,2064,22.326
Afghanistan,2065,21.947
Afghanistan,2066,21.568
Afghanistan,2067,21.192
Afghanistan,2068,20.818
Afghanistan,2069,20.446
Afghanistan,2070,20.074
Afghanistan,2071,19.707
Afghanistan,2072,19.344
Afghanistan,2073,18.99
Afghanistan,2074,18.643
Afghanistan,2075,18.308
Afghanistan,2076,17.986
Afghanistan,2077,17.676
Afghanistan,2078,17.377
Afghanistan,2079,17.092
Afghanistan,2080,16.815
Afghanistan,2081,16.547
Afghanistan,2082,16.285
Afghanistan,2083,16.028
Afghanistan,2084,15.773
Afghanistan,2085,15.521
Afghanistan,2086,15.27
Afghanistan,2087,15.023
Afghanistan,2088,14.78
Afghanistan,2089,14.541
Afghanistan,2090,14.304
Afghanistan,2091,14.072
Afghanistan,2092,13.842
Afghanistan,2093,13.617
Afghanistan,2094,13.394
Afghanistan,2095,13.175
Afghanistan,2096,12.961
Afghanistan,2097,12.749
Afghanistan,2098,12.54
Afghanistan,2099,12.335
Afghanistan,2100,12.335
Albania,1800,375.2
Albania,1801,375.2
Albania,1802,375.2
Albania,1803,375.2
Albania,1804,375.2
Albania,1805,375.2
Albania,1806,375.2
Albania,1807,375.2
Albania,1808,375.2
Albania,1809,375.2
Albania,1810,375.2
Albania,1811,375.2
Albania,1812,375.2
Albania,1813,375.2
Albania,1814,375.2
Albania,1815,375.2
Albania,1816,375.2
Albania,1817,375.2
Albania,1818,375.2
Albania,1819,375.2
Albania,1820,375.2
Albania,1821,375.2
Albania,1822,375.2
Albania,1823,375.2
Albania,1824,375.2
Albania,1825,375.2
Albania,1826,375.2
Albania,1827,375.2
Albania,1828,375.2
Albania,1829,375.2
Albania,1830,375.2
Albania,1831,375.2
Albania,1832,375.2
Albania,1833,375.2
Albania,1834,375.2
Albania,1835,375.2
Albania,1836,375.2
Albania,1837,375.2
Albania,1838,375.2
Albania,1839,375.2
Albania,1840,375.2
Albania,1841,375.2
Albania,1842,375.2
Albania,1843,375.2
Albania,1844,375.2
Albania,1845,375.2
Albania,1846,375.2
Albania,1847,375.2
Albania,1848,375.2
Albania,1849,375.2
Albania,1850,375.2
Albania,1851,375.2
Albania,1852,375.2
Albania,1853,375.2
Albania,1854,375.2
Albania,1855,375.2
Albania,1856,375.2
Albania,1857,375.2
Albania,1858,375.2
Albania,1859,375.2
Albania,1860,375.2
Albania,1861,375.2
Albania,1862,375.2
Albania,1863,375.2
Albania,1864,375.2
Albania,1865,375.2
Albania,1866,375.2
Albania,1867,375.2
Albania,1868,375.2
Albania,1869,375.2
Albania,1870,375.2
Albania,1871,375.2
Albania,1872,375.2
Albania,1873,375.2
Albania,1874,375.2
Albania,1875,375.2
Albania,1876,375.2
Albania,1877,375.2
Albania,1878,375.2
Albania,1879,375.2
Albania,1880,375.2
Albania,1881,375.2
Albania,1882,375.2
Albania,1883,375.2
Albania,1884,375.2
Albania,1885,375.2
Albania,1886,375.2
Albania,1887,375.2
Albania,1888,375.2
Albania,1889,375.2
Albania,1890,375.2
Albania,1891,375.2
Albania,1892,375.2
Albania,1893,375.2
Albania,1894,375.19
Albania,1895,375.16
Albania,1896,375.1
Albania,1897,375.01
Albania,1898,374.86
Albania,1899,374.65
Albania,1900,374.39
Albania,1901,374.07
Albania,1902,373.69
Albania,1903,373.24
Albania,1904,372.75
Albania,1905,372.19
Albania,1906,371.57
Albania,1907,370.9
Albania,1908,370.16
Albania,1909,369.38
Albania,1910,368.56
Albania,1911,367.71
Albania,1912,366.84
Albania,1913,365.96
Albania,1914,365.08
Albania,1915,364.2
Albania,1916,363.32
Albania,1917,362.43
Albania,1918,361.55
Albania,1919,360.67
Albania,1920,359.79
Albania,1921,358.91
Albania,1922,358.03
Albania,1923,357.15
Albania,1924,356.27
Albania,1925,355.39
Albania,1926,354.51
Albania,1927,353.63
Albania,1928,352.75
Albania,1929,351.87
Albania,1930,348.063
Albania,1931,344.296
Albania,1932,340.571
Albania,1933,336.886
Albania,1934,333.24
Albania,1935,329.634
Albania,1936,326.067
Albania,1937,322.539
Albania,1938,319.049
Albania,1939,315.597
Albania,1940,312.182
Albania,1941,308.804
Albania,1942,305.462
Albania,1943,302.157
Albania,1944,298.888
Albania,1945,295.653
Albania,1946,292.454
Albania,1947,289.29
Albania,1948,286.159
Albania,1949,283.063
Albania,1950,280.0
Albania,1951,268.994
Albania,1952,258.42
Albania,1953,248.262
Albania,1954,238.504
Albania,1955,229.129
Albania,1956,220.122
Albania,1957,211.47
Albania,1958,203.157
Albania,1959,195.172
Albania,1960,187.5
Albania,1961,180.13
Albania,1962,173.049
Albania,1963,166.247
Albania,1964,159.712
Albania,1965,153.434
Albania,1966,147.403
Albania,1967,141.609
Albania,1968,136.043
Albania,1969,130.695
Albania,1970,125.558
Albania,1971,120.622
Albania,1972,115.881
Albania,1973,111.326
Albania,1974,106.95
Albania,1975,102.746
Albania,1976,98.707
Albania,1977,94.827
Albania,1978,90.8
Albania,1979,84.1
Albania,1980,77.8
Albania,1981,72.0
Albania,1982,66.8
Albania,1983,61.9
Albania,1984,57.4
Albania,1985,53.4
Albania,1986,49.8
Albania,1987,46.7
Albania,1988,44.1
Albania,1989,41.8
Albania,1990,40.0
Albania,1991,38.3
Albania,1992,36.9
Albania,1993,35.5
Albania,1994,34.2
Albania,1995,32.9
Albania,1996,31.5
Albania,1997,30.1
Albania,1998,28.7
Albania,1999,27.4
Albania,2000,26.0
Albania,2001,24.8
Albania,2002,23.5
Albania,2003,22.4
Albania,2004,21.4
Albania,2005,20.4
Albania,2006,19.4
Albania,2007,18.6
Albania,2008,17.9
Albania,2009,17.2
Albania,2010,16.6
Albania,2011,16.0
Albania,2012,15.4
Albania,2013,14.9
Albania,2014,14.4
Albania,2015,14.0
Albania,2016,13.5
Albania,2017,13.273
Albania,2018,12.913
Albania,2019,12.561
Albania,2020,12.217
Albania,2021,11.885
Albania,2022,11.565
Albania,2023,11.258
Albania,2024,10.965
Albania,2025,10.684
Albania,2026,10.416
Albania,2027,10.157
Albania,2028,9.906
Albania,2029,9.662
Albania,2030,9.423
Albania,2031,9.19
Albania,2032,8.964
Albania,2033,8.743
Albania,2034,8.528
Albania,2035,8.319
Albania,2036,8.115
Albania,2037,7.919
Albania,2038,7.729
Albania,2039,7.545
Albania,2040,7.367
Albania,2041,7.194
Albania,2042,7.026
Albania,2043,6.862
Albania,2044,6.702
Albania,2045,6.546
Albania,2046,6.397
Albania,2047,6.254
Albania,2048,6.118
Albania,2049,5.988
Albania,2050,5.864
Albania,2051,5.744
Albania,2052,5.629
Albania,2053,5.517
Albania,2054,5.406
Albania,2055,5.298
Albania,2056,5.192
Albania,2057,5.089
Albania,2058,4.989
Albania,2059,4.89
Albania,2060,4.794
Albania,2061,4.7
Albania,2062,4.608
Albania,2063,4.519
Albania,2064,4.43
Albania,2065,4.344
Albania,2066,4.26
Albania,2067,4.179
Albania,2068,4.099
Albania,2069,4.02
Albania,2070,3.943
Albania,2071,3.868
Albania,2072,3.794
Albania,2073,3.721
Albania,2074,3.649
Albania,2075,3.578
Albania,2076,3.508
Albania,2077,3.439
Albania,2078,3.372
Albania,2079,3.307
Albania,2080,3.243
Albania,2081,3.18
Albania,2082,3.119
Albania,2083,3.061
Albania,2084,3.003
Albania,2085,2.947
Albania,2086,2.894
Albania,2087,2.842
Albania,2088,2.792
Albania,2089,2.744
Albania,2090,2.698
Albania,2091,2.653
Albania,2092,2.612
Albania,2093,2.572
Albania,2094,2.534
Albania,2095,2.499
Albania,2096,2.466
Albania,2097,2.435
Albania,2098,2.407
Albania,2099,2.38
Albania,2100,2.38
Algeria,1800,460.21
Algeria,1801,460.21
Algeria,1802,460.21
Algeria,1803,460.21
Algeria,1804,460.21
Algeria,1805,460.21
Algeria,1806,460.21
Algeria,1807,460.21
Algeria,1808,460.21
Algeria,1809,460.21
Algeria,1810,460.21
Algeria,1811,460.21
Algeria,1812,460.21
Algeria,1813,460.21
Algeria,1814,460.21
Algeria,1815,460.21
Algeria,1816,460.21
Algeria,1817,460.21
Algeria,1818,460.21
Algeria,1819,460.21
Algeria,1820,460.21
Algeria,1821,460.21
Algeria,1822,460.21
Algeria,1823,460.21
Algeria,1824,460.21
Algeria,1825,460.21
Algeria,1826,460.21
Algeria,1827,460.21
Algeria,1828,460.21
Algeria,1829,460.21
Algeria,1830,460.21
Algeria,1831,460.21
Algeria,1832,460.21
Algeria,1833,460.21
Algeria,1834,460.21
Algeria,1835,460.21
Algeria,1836,460.21
Algeria,1837,460.21
Algeria,1838,460.21
Algeria,1839,460.21
Algeria,1840,460.21
Algeria,1841,460.21
Algeria,1842,460.21
Algeria,1843,460.21
Algeria,1844,460.21
Algeria,1845,460.21
Algeria,1846,460.21
Algeria,1847,460.21
Algeria,1848,460.21
Algeria,1849,460.21
Algeria,1850,460.21
Algeria,1851,460.21
Algeria,1852,460.21
Algeria,1853,460.21
Algeria,1854,460.21
Algeria,1855,460.21
Algeria,1856,460.21
Algeria,1857,460.21
Algeria,1858,460.21
Algeria,1859,460.21
Algeria,1860,460.21
Algeria,1861,460.21
Algeria,1862,460.21
Algeria,1863,460.21
Algeria,1864,460.21
Algeria,1865,460.21
Algeria,1866,460.21
Algeria,1867,460.21
Algeria,1868,460.21
Algeria,1869,460.21
Algeria,1870,460.21
Algeria,1871,460.21
Algeria,1872,460.21
Algeria,1873,460.21
Algeria,1874,460.21
Algeria,1875,460.21
Algeria,1876,460.21
Algeria,1877,460.21
Algeria,1878,460.21
Algeria,1879,460.21
Algeria,1880,460.21
Algeria,1881,460.21
Algeria,1882,460.21
Algeria,1883,460.21
Algeria,1884,460.21
Algeria,1885,460.21
Algeria,1886,460.21
Algeria,1887,460.21
Algeria,1888,460.21
Algeria,1889,460.21
Algeria,1890,460.21
Algeria,1891,460.21
Algeria,1892,460.21
Algeria,1893,460.21
Algeria,1894,460.19
Algeria,1895,460.16
Algeria,1896,460.09
Algeria,1897,459.97
Algeria,1898,459.79
Algeria,1899,459.53
Algeria,1900,459.21
Algeria,1901,458.81
Algeria,1902,458.35
Algeria,1903,457.81
Algeria,1904,457.19
Algeria,1905,456.51
Algeria,1906,455.75
Algeria,1907,454.93
Algeria,1908,454.03
Algeria,1909,453.07
Algeria,1910,452.06
Algeria,1911,451.01
Algeria,1912,449.95
Algeria,1913,448.87
Algeria,1914,447.79
Algeria,1915,446.71
Algeria,1916,445.63
Algeria,1917,444.55
Algeria,1918,443.47
Algeria,1919,442.39
Algeria,1920,441.31
Algeria,1921,440.23
Algeria,1922,439.15
Algeria,1923,438.07
Algeria,1924,433.04
Algeria,1925,429.39
Algeria,1926,425.75
Algeria,1927,420.84
Algeria,1928,417.23
Algeria,1929,412.44
Algeria,1930,408.92
Algeria,1931,403.765
Algeria,1932,397.428
Algeria,1933,392.424
Algeria,1934,386.276
Algeria,1935,380.185
Algeria,1936,373.019
Algeria,1937,367.114
Algeria,1938,361.265
Algeria,1939,355.5
Algeria,1940,349.818
Algeria,1941,344.2
Algeria,1942,341.863
Algeria,1943,339.532
Algeria,1944,337.21
Algeria,1945,323.838
Algeria,1946,310.991
Algeria,1947,298.648
Algeria,1948,286.789
Algeria,1949,275.396
Algeria,1950,264.451
Algeria,1951,262.405
Algeria,1952,258.285
Algeria,1953,254.117
Algeria,1954,249.9
Algeria,1955,248.9
Algeria,1956,247.6
Algeria,1957,246.6
Algeria,1958,245.7
Algeria,1959,245.2
Algeria,1960,244.8
Algeria,1961,244.7
Algeria,1962,245.0
Algeria,1963,245.8
Algeria,1964,246.6
Algeria,1965,247.6
Algeria,1966,248.1
Algeria,1967,248.0
Algeria,1968,246.6
Algeria,1969,244.4
Algeria,1970,240.8
Algeria,1971,235.7
Algeria,1972,229.2
Algeria,1973,221.6
Algeria,1974,213.0
Algeria,1975,203.8
Algeria,1976,194.1
Algeria,1977,183.9
Algeria,1978,172.9
Algeria,1979,161.2
Algeria,1980,148.1
Algeria,1981,133.3
Algeria,1982,117.4
Algeria,1983,101.3
Algeria,1984,86.2
Algeria,1985,73.7
Algeria,1986,64.4
Algeria,1987,57.9
Algeria,1988,53.5
Algeria,1989,50.8
Algeria,1990,49.0
Algeria,1991,47.6
Algeria,1992,46.5
Algeria,1993,45.5
Algeria,1994,44.4
Algeria,1995,43.3
Algeria,1996,42.3
Algeria,1997,41.5
Algeria,1998,40.8
Algeria,1999,40.3
Algeria,2000,39.7
Algeria,2001,38.9
Algeria,2002,37.8
Algeria,2003,36.5
Algeria,2004,35.1
Algeria,2005,33.5
Algeria,2006,32.1
Algeria,2007,30.7
Algeria,2008,29.4
Algeria,2009,28.3
Algeria,2010,27.3
Algeria,2011,26.6
Algeria,2012,26.1
Algeria,2013,25.8
Algeria,2014,25.6
Algeria,2015,25.5
Algeria,2016,25.2
Algeria,2017,23.896
Algeria,2018,23.096
Algeria,2019,22.29
Algeria,2020,21.483
Algeria,2021,20.682
Algeria,2022,19.9
Algeria,2023,19.148
Algeria,2024,18.431
Algeria,2025,17.754
Algeria,2026,17.119
Algeria,2027,16.523
Algeria,2028,15.961
Algeria,2029,15.429
Algeria,2030,14.927
Algeria,2031,14.449
Algeria,2032,13.992
Algeria,2033,13.554
Algeria,2034,13.13
Algeria,2035,12.719
Algeria,2036,12.32
Algeria,2037,11.934
Algeria,2038,11.562
Algeria,2039,11.203
Algeria,2040,10.858
Algeria,2041,10.527
Algeria,2042,10.21
Algeria,2043,9.908
Algeria,2044,9.62
Algeria,2045,9.346
Algeria,2046,9.089
Algeria,2047,8.849
Algeria,2048,8.624
Algeria,2049,8.413
Algeria,2050,8.215
Algeria,2051,8.029
Algeria,2052,7.853
Algeria,2053,7.685
Algeria,2054,7.524
Algeria,2055,7.368
Algeria,2056,7.218
Algeria,2057,7.072
Algeria,2058,6.932
Algeria,2059,6.796
Algeria,2060,6.665
Algeria,2061,6.538
Algeria,2062,6.416
Algeria,2063,6.297
Algeria,2064,6.183
Algeria,2065,6.072
Algeria,2066,5.966
Algeria,2067,5.862
Algeria,2068,5.763
Algeria,2069,5.668
Algeria,2070,5.575
Algeria,2071,5.483
Algeria,2072,5.394
Algeria,2073,5.308
Algeria,2074,5.223
Algeria,2075,5.139
Algeria,2076,5.058
Algeria,2077,4.978
Algeria,2078,4.9
Algeria,2079,4.824
Algeria,2080,4.751
Algeria,2081,4.679
Algeria,2082,4.609
Algeria,2083,4.539
Algeria,2084,4.472
Algeria,2085,4.405
Algeria,2086,4.34
Algeria,2087,4.276
Algeria,2088,4.214
Algeria,2089,4.154
Algeria,2090,4.097
Algeria,2091,4.042
Algeria,2092,3.991
Algeria,2093,3.943
Algeria,2094,3.899
Algeria,2095,3.86
Algeria,2096,3.824
Algeria,2097,3.792
Algeria,2098,3.764
Algeria,2099,3.741
Algeria,2100,3.741
Andorra,1985,12.9
Andorra,1986,11.9
Andorra,1987,11.1
Andorra,1988,10.2
Andorra,1989,9.5
Andorra,1990,8.8
Andorra,1991,8.1
Andorra,1992,7.5
Andorra,1993,7.0
Andorra,1994,6.5
Andorra,1995,6.1
Andorra,1996,5.7
Andorra,1997,5.3
Andorra,1998,5.0
Andorra,1999,4.8
Andorra,2000,4.6
Andorra,2001,4.4
Andorra,2002,4.2
Andorra,2003,4.1
Andorra,2004,4.0
Andorra,2005,3.8
Andorra,2006,3.7
Andorra,2007,3.6
Andorra,2008,3.5
Andorra,2009,3.4
Andorra,2010,3.3
Andorra,2011,3.2
Andorra,2012,3.1
Andorra,2013,3.0
Andorra,2014,2.9
Andorra,2015,2.8
Andorra,2016,2.7
Angola,1800,485.68
Angola,1801,485.68
Angola,1802,485.68
Angola,1803,485.68
Angola,1804,485.68
Angola,1805,485.68
Angola,1806,485.68
Angola,1807,485.68
Angola,1808,485.68
Angola,1809,485.68
Angola,1810,485.68
Angola,1811,485.68
Angola,1812,485.68
Angola,1813,485.68
Angola,1814,485.68
Angola,1815,485.68
Angola,1816,485.68
Angola,1817,485.68
Angola,1818,485.68
Angola,1819,485.68
Angola,1820,485.68
Angola,1821,485.68
Angola,1822,485.68
Angola,1823,485.68
Angola,1824,485.68
Angola,1825,485.68
Angola,1826,485.68
Angola,1827,485.68
Angola,1828,485.68
Angola,1829,485.68
Angola,1830,485.68
Angola,1831,485.68
Angola,1832,485.68
Angola,1833,485.68
Angola,1834,485.68
Angola,1835,485.68
Angola,1836,485.68
Angola,1837,485.68
Angola,1838,485.68
Angola,1839,485.68
Angola,1840,485.68
Angola,1841,485.68
Angola,1842,485.68
Angola,1843,485.68
Angola,1844,485.68
Angola,1845,485.68
Angola,1846,485.68
Angola,1847,485.68
Angola,1848,485.68
Angola,1849,485.68
Angola,1850,485.68
Angola,1851,485.68
Angola,1852,485.68
Angola,1853,485.68
Angola,1854,485.68
Angola,1855,485.68
Angola,1856,485.68
Angola,1857,485.68
Angola,1858,485.68
Angola,1859,485.68
Angola,1860,485.68
Angola,1861,485.68
Angola,1862,485.68
Angola,1863,485.68
Angola,1864,485.68
